,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
71,2026-04-01,SH688008,-0.026206636801362038,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
72,2026-04-01,SH605117,-0.021659642457962036,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
73,2026-04-01,SH601939,0.03156767040491104,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
74,2026-04-01,SZ000999,-0.06098203733563423,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
75,2026-04-01,SZ001965,0.07185052335262299,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
76,2026-04-01,SZ300413,0.01629013940691948,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
77,2026-04-01,SZ300408,-0.0063234674744307995,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
78,2026-04-01,SZ300394,-0.14826557040214539,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
79,2026-04-01,SZ300347,-0.06067534536123276,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
80,2026-04-01,SZ300316,-0.10310989618301392,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
81,2026-04-01,SZ300308,-0.025373628363013268,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
